date,player,market,line,pick,projection,actual,margin,result,flags,p_model,p_market,decimal_odds,stake_pct,realized_profit
2026-04-18,Jonathan Kuminga,3PM,0.5,OVER,1.0,0.0,,MISS,NO-PO 1-BOOK,0.623,,,,
2026-04-18,Nikola Jokic,3PM,1.5,UNDER,1.0,2.0,,MISS,NO-PO BLW-1m,0.62,,,,
2026-04-18,LeBron James,3PM,1.5,UNDER,1.0,1.0,,HIT,NO-PO DvP-0.78,0.616,,,,
2026-04-18,Max Strus,3PM,1.5,OVER,2.2,4.0,,HIT,NO-PO DvP-0.78,0.606,,,,
2026-04-18,Dyson Daniels,3PM,0.5,OVER,0.7,0.0,,MISS,NO-PO,0.605,,,,
2026-04-18,OG Anunoby,AST,1.5,OVER,2.0,0.0,,MISS,NO-PO 2-BOOK DvP-0.78 BLW-0m,0.6,,,,
2026-04-18,Deandre Ayton,AST,0.5,OVER,0.7,2.0,,HIT,NO-PO 2-BOOK DvP-0.80,0.583,,,,
2026-04-19,Daniss Jenkins,AST,2.5,OVER,6.1,2.0,,MISS,NO-PO BLW-4m,0.973,,,,
2026-04-19,Devin Booker,PTS+AST,29.5,OVER,40.7,25.0,,MISS,NO-PO HI-USG PO-MIN+,0.927,,,,
2026-04-19,Baylor Scheierman,AST,0.5,OVER,2.4,0.0,,MISS,NO-PO 2-BOOK,0.918,,,,
2026-04-19,Paolo Banchero,AST,4.5,OVER,6.5,4.0,,MISS,NO-PO PO-MIN+,0.895,,,,
2026-04-19,Daniss Jenkins,REB,1.5,OVER,3.8,2.0,,HIT,NO-PO BLW-4m,0.884,,,,
2026-04-19,Jerami Grant,3PM,1.5,OVER,2.9,1.0,,MISS,NO-PO PO-MIN+,0.884,,,,
2026-04-19,Payton Pritchard,3PM,1.5,OVER,3.1,2.0,,HIT,NO-PO BLW-4m PO-MIN+,0.88,,,,
2026-04-19,Devin Booker,PTS,23.5,OVER,33.9,23.0,,MISS,NO-PO HI-USG PO-MIN+,0.868,,,,
2026-04-19,Shaedon Sharpe,PRA,14.5,OVER,23.5,13.0,,MISS,NO-PO,0.842,,,,
2026-04-19,Devin Vassell,REB+AST,5.5,OVER,7.8,5.0,,MISS,NO-PO PO-MIN+,0.837,,,,
2026-04-19,Jerami Grant,PTS+REB,13.5,OVER,22.9,5.0,,MISS,NO-PO 1-BOOK PO-MIN+,0.833,,,,
2026-04-19,Dylan Harper,PRA,14.5,OVER,19.9,12.0,,MISS,NO-PO,0.828,,,,
2026-04-19,Dylan Harper,3PM,0.5,OVER,1.3,0.0,,MISS,NO-PO,0.827,,,,
2026-04-19,Andre Drummond,AST,1.5,OVER,2.6,2.0,,HIT,NO-PO 2-BOOK,0.824,,,,
2026-04-19,Ausar Thompson,AST,2.5,OVER,4.2,1.0,,MISS,NO-PO,0.819,,,,
2026-04-19,Deni Avdija,PTS+AST,30.0,OVER,35.9,35.0,,HIT,NO-PO PO-MIN+,0.808,,,,
2026-04-19,Matisse Thybulle,PRA,3.5,OVER,9.1,8.0,,HIT,NO-PO 1-BOOK,0.805,,,,
2026-04-19,Duncan Robinson,AST,1.5,OVER,2.3,4.0,,HIT,NO-PO 1-BOOK,0.801,,,,
2026-04-19,Franz Wagner,AST,3.5,UNDER,2.4,4.0,,MISS,NO-PO,0.784,,,,
2026-04-19,Jalen Suggs,AST,4.5,OVER,6.1,4.0,,MISS,NO-PO PO-MIN+,0.774,,,,
2026-04-19,Keldon Johnson,PTS+REB,14.5,OVER,18.6,10.0,,MISS,NO-PO,0.774,,,,
2026-04-19,Toumani Camara,PTS+AST,13.5,OVER,19.4,9.0,,MISS,NO-PO PO-MIN+,0.769,,,,
2026-04-19,Ajay Mitchell,3PM,0.5,OVER,1.0,3.0,,HIT,NO-PO,0.763,,,,
2026-04-19,Shaedon Sharpe,PTS,10.5,OVER,17.2,10.0,,MISS,NO-PO,0.762,,,,
2026-04-19,Dominick Barlow,PRA,6.5,OVER,10.3,7.0,,HIT,NO-PO 2-BOOK LO-USG,0.756,,,,
2026-04-19,Scoot Henderson,PTS+REB,11.5,OVER,16.1,21.0,,HIT,NO-PO PO-MIN+,0.755,,,,
2026-04-19,Harrison Barnes,3PM,0.5,OVER,1.5,0.0,,MISS,NO-PO 1-BOOK,0.751,,,,
2026-04-19,Tristan da Silva,PRA,8.5,OVER,14.0,11.0,,HIT,NO-PO 2-BOOK,0.749,,,,
