date,player,market,line,pick,projection,actual,margin,result,flags,p_model,p_market,decimal_odds,stake_pct,realized_profit
2026-04-22,Luguentz Dort,PTS,7.5,UNDER,5.564,9.0,,MISS,LOW-PO ROT-RISK,0.662,,,,
2026-04-22,Isaiah Joe,3PM,1.5,OVER,3.524,2.0,,HIT,⚠SUSP-135% LOW-PO LOW-LINE,0.66,,,,
2026-04-22,Isaiah Hartenstein,PTS,7.5,UNDER,5.652000000000001,9.0,,MISS,LOW-PO ROT-RISK,0.659,,,,
2026-04-22,Ajay Mitchell,PTS+AST,12.5,OVER,14.26,19.0,,HIT,LOW-PO,0.659,,,,
2026-04-22,Jalen Suggs,AST,4.5,OVER,6.172000000000001,4.0,,MISS,LOW-PO,0.649,,,,
2026-04-22,Isaiah Joe,PTS,6.5,OVER,13.892,6.0,,MISS,⚠SUSP-114% LOW-PO,0.641,,,,
2026-04-22,Jalen Green,PTS+AST,21.5,OVER,24.228,24.0,,HIT,LOW-PO HI-USG,0.634,,,,
2026-04-22,Cason Wallace,REB,2.5,OVER,2.94,6.0,,HIT,LOW-PO,0.612,,,,
2026-04-22,Daniss Jenkins,AST,2.5,OVER,5.58,2.0,,MISS,⚠SUSP-123% LOW-PO BLW-2m,0.61,,,,
2026-04-22,Shai Gilgeous-Alexander,REB,4.5,UNDER,3.7960000000000003,5.0,,MISS,LOW-PO BLW-5m,0.61,,,,
2026-04-22,Desmond Bane,REB,3.5,OVER,3.852,4.0,,HIT,LOW-PO,0.595,,,,
2026-04-22,Duncan Robinson,AST,1.5,OVER,2.028,3.0,,HIT,LOW-PO LOW-LINE,0.582,,,,
2026-04-22,Paolo Banchero,AST,4.5,OVER,6.612,8.0,,HIT,⚠SUSP-47% LOW-PO,0.573,,,,
2026-04-22,Tristan da Silva,REB,2.5,OVER,3.556,3.0,,HIT,⚠SUSP-42% LOW-PO,0.565,,,,
2026-04-22,Anthony Black,PTS,8.5,OVER,11.491999999999999,5.0,,MISS,LOW-PO,0.557,,,,
2026-04-22,Kevin Huerter,PTS,4.5,OVER,9.515999999999998,3.0,,MISS,⚠SUSP-112% ⚠BENCH LOW-PO,0.551,,,,
2026-04-22,Jalen Green,AST,2.5,OVER,3.116,3.0,,HIT,LOW-PO,0.518,,,,
2026-04-22,Alex Caruso,3PM,0.5,OVER,0.6759999999999999,1.0,,HIT,NO-PO ⚠PO-ROLE LOW-LINE ROT-RISK,0.516,,,,
2026-04-22,Ausar Thompson,AST,2.5,OVER,3.7319999999999998,1.0,,MISS,⚠SUSP-49% LOW-PO,0.5,,,,
2026-04-22,Goga Bitadze,REB,3.5,OVER,5.172000000000001,5.0,,HIT,⚠SUSP-48% ⚠BENCH NO-PO ⚠PO-ROLE ROT-RISK,0.5,,,,
2026-04-22,Ajay Mitchell,AST,2.5,OVER,3.556,5.0,,HIT,⚠SUSP-42% LOW-PO,0.5,,,,
2026-04-22,Devin Booker,PTS+AST,28.5,OVER,35.804,26.0,-2.5,MISS,LOW-PO HI-USG,0.846,,,,
2026-04-22,Franz Wagner,AST,3.5,UNDER,2.62,1.0,2.5,HIT,LOW-PO,0.791,,,,
2026-04-22,Paolo Banchero,REB,7.5,OVER,9.084000000000001,6.0,-1.5,MISS,LOW-PO,0.786,,,,
2026-04-22,Cade Cunningham,PTS,28.5,UNDER,18.732,27.0,1.5,HIT,LOW-PO BLW-2m,0.777,,,,
2026-04-22,Jalen Duren,PTS+AST,20.0,OVER,24.224,15.0,-5.0,MISS,LOW-PO BLW-2m,0.759,,,,
2026-04-22,Anthony Black,REB,2.5,OVER,3.2039999999999997,3.0,0.5,HIT,LOW-PO,0.746,,,,
2026-04-22,Devin Booker,PTS,23.5,OVER,29.924,22.0,-1.5,MISS,LOW-PO HI-USG,0.727,,,,
2026-04-22,Wendell Carter Jr,REB+AST,9.5,UNDER,7.739999999999999,5.0,4.5,HIT,LOW-PO,0.721,,,,
2026-04-22,Daniss Jenkins,REB,1.5,OVER,3.7,2.0,0.5,HIT,⚠SUSP-147% LOW-PO LOW-LINE BLW-2m,0.716,,,,
2026-04-22,Dillon Brooks,REB,3.5,OVER,4.028,6.0,2.5,HIT,LOW-PO,0.702,,,,
2026-04-22,Jalen Suggs,PTS+AST,18.5,OVER,21.58,23.0,4.5,HIT,LOW-PO,0.695,,,,
2026-04-22,Duncan Robinson,PTS+AST,12.5,OVER,14.964,13.0,0.5,HIT,LOW-PO,0.681,,,,
2026-04-22,Luguentz Dort,PTS,7.5,UNDER,5.564,9.0,-1.5,MISS,LOW-PO ROT-RISK,0.662,,,,
2026-04-22,Isaiah Joe,3PM,1.5,OVER,3.524,2.0,0.5,HIT,⚠SUSP-135% LOW-PO LOW-LINE,0.66,,,,
2026-04-22,Isaiah Hartenstein,PTS,7.5,UNDER,5.652000000000001,9.0,-1.5,MISS,LOW-PO ROT-RISK,0.659,,,,
2026-04-22,Ajay Mitchell,PTS+AST,12.5,OVER,14.26,19.0,6.5,HIT,LOW-PO,0.659,,,,
2026-04-22,Jalen Suggs,AST,4.5,OVER,6.172000000000001,4.0,-0.5,MISS,LOW-PO,0.649,,,,
2026-04-22,Isaiah Joe,PTS,6.5,OVER,13.892,6.0,-0.5,MISS,⚠SUSP-114% LOW-PO,0.641,,,,
2026-04-22,Jalen Green,PTS+AST,21.5,OVER,24.228,24.0,2.5,HIT,LOW-PO HI-USG,0.634,,,,
2026-04-22,Cason Wallace,REB,2.5,OVER,2.94,6.0,3.5,HIT,LOW-PO,0.612,,,,
2026-04-22,Daniss Jenkins,AST,2.5,OVER,5.58,2.0,-0.5,MISS,⚠SUSP-123% LOW-PO BLW-2m,0.61,,,,
2026-04-22,Shai Gilgeous-Alexander,REB,4.5,UNDER,3.7960000000000003,5.0,-0.5,MISS,LOW-PO BLW-5m,0.61,,,,
2026-04-22,Desmond Bane,REB,3.5,OVER,3.852,4.0,0.5,HIT,LOW-PO,0.595,,,,
2026-04-22,Duncan Robinson,AST,1.5,OVER,2.028,3.0,1.5,HIT,LOW-PO LOW-LINE,0.582,,,,
2026-04-22,Paolo Banchero,AST,4.5,OVER,6.612,8.0,3.5,HIT,⚠SUSP-47% LOW-PO,0.573,,,,
2026-04-22,Tristan da Silva,REB,2.5,OVER,3.556,3.0,0.5,HIT,⚠SUSP-42% LOW-PO,0.565,,,,
2026-04-22,Anthony Black,PTS,8.5,OVER,11.491999999999999,5.0,-3.5,MISS,LOW-PO,0.557,,,,
2026-04-22,Kevin Huerter,PTS,4.5,OVER,9.515999999999998,3.0,-1.5,MISS,⚠SUSP-112% ⚠BENCH LOW-PO,0.551,,,,
2026-04-22,Jalen Green,AST,2.5,OVER,3.116,3.0,0.5,HIT,LOW-PO,0.518,,,,
2026-04-22,Alex Caruso,3PM,0.5,OVER,0.6759999999999999,1.0,0.5,HIT,NO-PO ⚠PO-ROLE LOW-LINE ROT-RISK,0.516,,,,
2026-04-22,Ausar Thompson,AST,2.5,OVER,3.7319999999999998,1.0,-1.5,MISS,⚠SUSP-49% LOW-PO,0.5,,,,
2026-04-22,Goga Bitadze,REB,3.5,OVER,5.172000000000001,5.0,1.5,HIT,⚠SUSP-48% ⚠BENCH NO-PO ⚠PO-ROLE ROT-RISK,0.5,,,,
2026-04-22,Ajay Mitchell,AST,2.5,OVER,3.556,5.0,2.5,HIT,⚠SUSP-42% LOW-PO,0.5,,,,
2026-04-23,Sandro Mamukelashvili,REB,4.5,OVER,5.556,2.0,-2.5,MISS,ROT-RISK,0.829,,,,
2026-04-23,Mitchell Robinson,AST,0.5,UNDER,0.41200000000000003,0.0,0.5,HIT,⚠BENCH LOW-PO LOW-LINE ROT-RISK,0.796,,,,
2026-04-23,Rudy Gobert,REB,10.5,OVER,11.995999999999999,12.0,1.5,HIT,,0.779,,,,
2026-04-23,James Harden,3PM,2.5,OVER,3.38,3.0,0.5,HIT,,0.773,,,,
2026-04-23,Dyson Daniels,REB,6.5,OVER,7.732,13.0,6.5,HIT,,0.757,,,,
2026-04-23,Jarrett Allen,AST,1.5,UNDER,1.1480000000000001,1.0,0.5,HIT,LOW-LINE,0.744,,,,
2026-04-23,Scottie Barnes,REB,7.5,UNDER,5.388,5.0,2.5,HIT,DvP-0.85,0.743,,,,
2026-04-23,Josh Hart,REB+AST,13.5,UNDER,11.212,15.0,-1.5,MISS,,0.74,,,,
2026-04-23,Max Strus,REB,3.5,OVER,4.292000000000001,6.0,2.5,HIT,,0.738,,,,
2026-04-23,Donte DiVincenzo,3PM,2.5,OVER,3.2039999999999997,3.0,0.5,HIT,,0.729,,,,
2026-04-23,Sam Merrill,REB,2.0,OVER,2.5280000000000005,3.0,1.0,HIT,,0.728,,,,
2026-04-23,Collin Murray-Boyles,PTS+AST,11.5,OVER,14.579999999999998,24.0,12.5,HIT,DvP+1.14,0.728,,,,
2026-04-23,Anthony Edwards,REB+AST,10.5,UNDER,8.828,8.0,2.5,HIT,,0.728,,,,
2026-04-23,Nickeil Alexander-Walker,PTS+AST,22.5,OVER,26.284,14.0,-8.5,MISS,,0.719,,,,
2026-04-23,Dean Wade,AST,1.5,UNDER,1.236,0.0,1.5,HIT,LOW-LINE ROT-RISK,0.704,,,,
2026-04-23,Evan Mobley,PTS+AST,19.5,OVER,22.756,22.0,2.5,HIT,,0.697,,,,
2026-04-23,OG Anunoby,REB,5.5,OVER,6.292000000000001,9.0,3.5,HIT,,0.691,,,,
2026-04-23,Karl-Anthony Towns,PTS+AST,22.5,OVER,25.491999999999997,25.0,2.5,HIT,,0.689,,,,
2026-04-23,Cameron Johnson,PTS+AST,14.5,OVER,17.228,7.0,-7.5,MISS,,0.686,,,,
2026-04-23,Ayo Dosunmu,PRA,17.5,OVER,24.012,37.0,19.5,HIT,,0.684,,,,
2026-04-23,Bruce Brown,PRA,11.5,OVER,15.195999999999998,15.0,3.5,HIT,LOW-PO,0.675,,,,
2026-04-23,Jamal Murray,REB,4.5,OVER,5.028,3.0,-1.5,MISS,,0.672,,,,
2026-04-23,Mikal Bridges,REB+AST,6.5,UNDER,5.444,3.0,3.5,HIT,,0.649,,,,
2026-04-23,Christian Braun,PTS+AST,14.5,OVER,16.436,2.0,-12.5,MISS,,0.641,,,,
2026-04-23,Brandon Ingram,PTS+AST,24.0,OVER,26.816,14.0,-10.0,MISS,DvP+1.14,0.639,,,,
2026-04-23,James Harden,REB,4.5,UNDER,3.532,4.0,0.5,HIT,,0.633,,,,
2026-04-23,Tim Hardaway Jr,REB,2.5,OVER,2.764,5.0,2.5,HIT,,0.632,,,,
2026-04-23,Dyson Daniels,AST,4.5,OVER,6.084,6.0,1.5,HIT,,0.629,,,,
2026-04-23,Jalen Brunson,REB+AST,10.0,OVER,11.232,7.0,-3.0,MISS,,0.611,,,,
2026-04-23,Mikal Bridges,REB,3.5,UNDER,2.884,1.0,2.5,HIT,,0.604,,,,
2026-04-23,Bruce Brown,PTS,6.5,OVER,8.876,9.0,2.5,HIT,LOW-PO,0.6,,,,
2026-04-23,Jarrett Allen,PTS,12.5,OVER,17.34,12.0,-0.5,MISS,,0.591,,,,
2026-04-23,Collin Murray-Boyles,PTS,9.5,OVER,12.668000000000001,22.0,12.5,HIT,DvP+1.12,0.587,,,,
2026-04-23,Ayo Dosunmu,REB,2.5,OVER,4.436,3.0,0.5,HIT,⚠SUSP-77%,0.572,,,,
2026-04-23,Jalen Brunson,AST,6.5,OVER,7.82,4.0,-2.5,MISS,,0.561,,,,
2026-04-23,Jamal Murray,AST,6.5,OVER,7.468,4.0,-2.5,MISS,,0.554,,,,
2026-04-23,Tim Hardaway Jr,PTS+REB,12.5,OVER,15.052,16.0,3.5,HIT,,0.553,,,,
2026-04-23,Miles McBride,REB,1.5,OVER,2.3800000000000003,1.0,-0.5,MISS,⚠SUSP-59% LOW-PO LOW-LINE,0.545,,,,
2026-04-23,Jonathan Kuminga,3PM,1.5,UNDER,1.06,2.0,-0.5,MISS,LOW-LINE,0.536,,,,
2026-04-23,Cameron Johnson,PTS,11.5,OVER,14.315999999999999,6.0,-5.5,MISS,,0.536,,,,
2026-04-23,Christian Braun,PTS,11.5,OVER,13.875999999999998,2.0,-9.5,MISS,,0.511,,,,
2026-04-23,Miles McBride,PTS,5.5,OVER,10.692,15.0,9.5,HIT,⚠SUSP-94% LOW-PO,0.5,,,,
2026-04-23,Karl-Anthony Towns,AST,2.5,OVER,4.084,4.0,1.5,HIT,⚠SUSP-63%,0.5,,,,
2026-04-23,Jordan Clarkson,PTS,4.5,OVER,5.996,8.0,3.5,HIT,⚠BENCH NO-PO ⚠PO-ROLE ROT-RISK,0.5,,,,
2026-04-23,OG Anunoby,AST,1.5,OVER,2.028,1.0,-0.5,MISS,LOW-LINE,0.5,,,,
2026-04-23,Jonathan Kuminga,AST,1.5,OVER,1.764,0.0,-1.5,MISS,LOW-LINE,0.5,,,,
2026-04-23,Scottie Barnes,AST,5.5,OVER,8.315999999999999,11.0,5.5,HIT,⚠SUSP-51% DvP+1.16,0.5,,,,
2026-04-23,Sam Merrill,PTS,7.5,OVER,11.196,3.0,-4.5,MISS,⚠SUSP-49%,0.5,,,,
2026-04-23,Dennis Schroder,PTS,4.5,OVER,6.172000000000001,3.0,-1.5,MISS,⚠BENCH NO-PO ⚠PO-ROLE ROT-RISK,0.5,,,,
2026-04-23,Ja'Kobe Walter,PTS,7.5,OVER,9.964,0.0,-7.5,MISS,,0.5,,,,
2026-04-23,Sandro Mamukelashvili,AST,1.5,OVER,2.028,1.0,-0.5,MISS,LOW-LINE ROT-RISK,0.5,,,,
2026-04-23,Max Strus,PTS,8.5,OVER,10.7,15.0,6.5,HIT,,0.5,,,,
2026-04-23,Donte DiVincenzo,PTS,10.5,OVER,11.995999999999999,15.0,4.5,HIT,,0.5,,,,
2026-04-24,Tyrese Maxey,AST,6.5,UNDER,5.0040000000000004,6.0,0.5,HIT,,0.865,,,,
2026-04-24,Kevin Durant,REB,5.5,OVER,6.292000000000001,,,MISS,LOW-PO DvP+1.18,0.836,,,,
2026-04-24,Donovan Clingan,REB,9.5,OVER,10.908,11.0,1.5,HIT,,0.828,,,,
2026-04-24,Tari Eason,REB,5.5,OVER,6.556,4.0,-1.5,MISS,DvP+1.18,0.791,,,,
2026-04-24,Quentin Grimes,REB,2.5,OVER,3.292,4.0,1.5,HIT,,0.781,,,,
2026-04-24,Devin Vassell,REB,4.5,OVER,5.468,7.0,2.5,HIT,,0.779,,,,
2026-04-24,Sam Hauser,REB,3.5,OVER,4.204,3.0,-0.5,MISS,,0.763,,,,
2026-04-24,Jayson Tatum,3PM,2.5,OVER,3.028,5.0,2.5,HIT,BLW-0m,0.763,,,,
2026-04-24,Scoot Henderson,PTS+AST,16.5,OVER,21.164,22.0,5.5,HIT,,0.759,,,,
2026-04-24,Paul George,AST,3.5,UNDER,2.972,5.0,-1.5,MISS,,0.749,,,,
2026-04-24,Kelly Oubre Jr,AST,1.5,UNDER,1.236,1.0,0.5,HIT,LOW-LINE,0.744,,,,
2026-04-24,Deandre Ayton,REB+AST,8.5,UNDER,6.827999999999999,8.0,0.5,HIT,,0.732,,,,
2026-04-24,Stephon Castle,AST,6.5,OVER,8.524000000000001,5.0,-1.5,MISS,,0.725,,,,
2026-04-24,Jrue Holiday,REB,4.5,OVER,5.1160000000000005,6.0,1.5,HIT,,0.725,,,,
2026-04-24,Toumani Camara,PTS+AST,12.5,OVER,16.636,3.0,-9.5,MISS,,0.719,,,,
2026-04-24,Keldon Johnson,REB,4.5,OVER,5.204,5.0,0.5,HIT,⚠BENCH,0.715,,,,
2026-04-24,Jaxson Hayes,REB,3.5,OVER,4.028,4.0,0.5,HIT,LOW-PO,0.711,,,,
2026-04-24,Jake LaRavia,REB,2.5,OVER,4.172000000000001,2.0,-0.5,MISS,⚠SUSP-67% ⚠BENCH LOW-PO,0.708,,,,
2026-04-24,Josh Okogie,REB,2.5,OVER,3.38,1.0,-1.5,MISS,ROT-RISK,0.69,,,,
2026-04-24,Neemias Queta,REB,7.5,OVER,8.292,7.0,-0.5,MISS,LOW-PO,0.685,,,,
2026-04-24,Payton Pritchard,3PM,2.5,OVER,3.028,5.0,2.5,HIT,BLW-0m,0.684,,,,
2026-04-24,Payton Pritchard,PTS+AST,17.5,OVER,21.372,17.0,-0.5,MISS,BLW-0m,0.678,,,,
2026-04-24,Jaylen Brown,PTS+AST,31.5,OVER,35.019999999999996,29.0,-2.5,MISS,HI-USG BLW-0m,0.675,,,,
2026-04-24,De'Aaron Fox,REB,3.5,OVER,3.852,4.0,0.5,HIT,,0.672,,,,
2026-04-24,Kevin Durant,AST,4.5,OVER,5.82,,,MISS,LOW-PO,0.667,,,,
2026-04-24,Marcus Smart,PRA,19.5,UNDER,15.98,35.0,-15.5,MISS,,0.665,,,,
2026-04-24,Reed Sheppard,3PM,2.0,OVER,2.5280000000000005,4.0,2.0,HIT,LOW-PO,0.657,,,,
2026-04-24,Marcus Smart,PTS+REB,14.5,UNDER,11.42,25.0,-10.5,MISS,,0.655,,,,
2026-04-24,Dylan Harper,PRA,17.0,OVER,19.991999999999997,40.0,23.0,HIT,,0.655,,,,
2026-04-24,Sam Hauser,REB+AST,4.5,OVER,5.9079999999999995,3.0,-1.5,MISS,,0.651,,,,
2026-04-24,Shaedon Sharpe,PTS+REB,12.5,OVER,23.412,7.0,-5.5,MISS,⚠SUSP-87% LOW-PO,0.637,,,,
2026-04-24,Derrick White,REB,4.5,UNDER,3.7960000000000003,4.0,0.5,HIT,BLW-0m,0.627,,,,
2026-04-24,Luke Kennard,PTS+REB,17.5,UNDER,14.508,20.0,-2.5,MISS,,0.615,,,,
2026-04-24,Alperen Sengun,3PM,0.5,UNDER,0.41200000000000003,1.0,-0.5,MISS,LOW-LINE,0.603,,,,
2026-04-24,Scoot Henderson,PTS,13.5,OVER,17.724,21.0,7.5,HIT,,0.596,,,,
2026-04-24,Jayson Tatum,AST,5.5,OVER,6.644,7.0,1.5,HIT,BLW-0m,0.544,,,,
2026-04-24,Keldon Johnson,PTS,10.5,OVER,13.492,5.0,-5.5,MISS,⚠BENCH,0.535,,,,
2026-04-24,VJ Edgecombe,AST,3.5,OVER,4.556,5.0,1.5,HIT,,0.528,,,,
2026-04-24,Dylan Harper,PTS,10.5,OVER,13.052,27.0,16.5,HIT,,0.518,,,,
2026-04-24,Justin Edwards,PTS,4.5,OVER,8.812000000000001,0.0,-4.5,MISS,⚠SUSP-96% LOW-PO,0.5,,,,
2026-04-24,Quentin Grimes,PTS,6.5,OVER,10.284,2.0,-4.5,MISS,⚠SUSP-58%,0.5,,,,
2026-04-24,Nikola Vucevic,AST,1.5,OVER,2.2920000000000003,4.0,2.5,HIT,⚠SUSP-53% ⚠BENCH LOW-PO LOW-LINE,0.5,,,,
2026-04-24,Neemias Queta,AST,1.5,OVER,2.028,0.0,-1.5,MISS,LOW-PO LOW-LINE,0.5,,,,
2026-04-24,Andre Drummond,AST,1.5,OVER,2.2920000000000003,0.0,-1.5,MISS,⚠SUSP-53% LOW-LINE,0.5,,,,
2026-04-24,Jaxson Hayes,PTS,5.5,OVER,10.164000000000001,12.0,6.5,HIT,⚠SUSP-85% LOW-PO LO-USG,0.5,,,,
2026-04-24,Deandre Ayton,AST,0.5,OVER,0.6759999999999999,2.0,1.5,HIT,LOW-LINE,0.5,,,,
2026-04-24,Rui Hachimura,AST,0.5,OVER,0.764,2.0,1.5,HIT,⚠SUSP-53% LOW-LINE,0.5,,,,
2026-04-24,Reed Sheppard,PTS,9.5,OVER,11.700000000000001,17.0,7.5,HIT,LOW-PO,0.5,,,,
2026-04-24,Jerami Grant,PTS,9.5,OVER,15.044,13.0,3.5,HIT,⚠SUSP-58% ⚠BENCH,0.5,,,,
2026-04-25,Naz Reid,REB,4.5,OVER,6.172000000000001,9.0,4.5,HIT,,0.849,,,,
2026-04-25,Donte DiVincenzo,3PM,2.5,OVER,3.468,0.0,-2.5,MISS,DvP+1.18,0.849,,,,
2026-04-25,OG Anunoby,REB,5.5,OVER,7.348,10.0,4.5,HIT,,0.841,,,,
2026-04-25,Christian Braun,AST,2.5,UNDER,1.972,1.0,1.5,HIT,,0.814,,,,
2026-04-25,Karl-Anthony Towns,REB,11.5,OVER,12.995999999999999,10.0,-1.5,MISS,,0.799,,,,
2026-04-25,Dyson Daniels,REB,6.5,OVER,7.9959999999999996,9.0,2.5,HIT,,0.796,,,,
2026-04-25,Ayo Dosunmu,PTS+AST,15.5,OVER,21.044,44.0,28.5,HIT,DvP+1.18,0.778,,,,
2026-04-25,Josh Hart,REB,8.5,OVER,9.82,9.0,0.5,HIT,DvP+1.18,0.768,,,,
2026-04-25,Jaden McDaniels,REB,4.5,OVER,5.732,8.0,3.5,HIT,,0.768,,,,
2026-04-25,Jalen Duren,PTS+AST,18.0,OVER,22.311999999999998,9.0,-9.0,MISS,,0.752,,,,
2026-04-25,Tristan da Silva,REB,2.5,OVER,3.2039999999999997,0.0,-2.5,MISS,LOW-PO,0.749,,,,
2026-04-25,Devin Booker,3PM,1.5,OVER,2.028,2.0,0.5,HIT,LOW-LINE,0.73,,,,
2026-04-25,Anthony Black,REB,2.5,OVER,3.116,1.0,-1.5,MISS,,0.726,,,,
2026-04-25,Luguentz Dort,REB,3.5,UNDER,2.444,6.0,-2.5,MISS,ROT-RISK,0.719,,,,
2026-04-25,Bruce Brown,REB,3.5,OVER,4.204,1.0,-2.5,MISS,DvP-0.85,0.707,,,,
2026-04-25,Donte DiVincenzo,PTS+AST,14.5,OVER,18.02,1.0,-13.5,MISS,DvP+1.18,0.706,,,,
2026-04-25,Ausar Thompson,REB,5.5,OVER,6.1160000000000005,8.0,2.5,HIT,,0.697,,,,
2026-04-25,Goga Bitadze,REB,4.0,OVER,5.496,2.0,-2.0,MISS,LOW-PO ROT-RISK,0.691,,,,
2026-04-25,Paolo Banchero,AST,4.5,OVER,5.82,9.0,4.5,HIT,,0.687,,,,
2026-04-25,Jamal Murray,3PM,2.5,OVER,3.2039999999999997,3.0,0.5,HIT,,0.687,,,,
2026-04-25,Karl-Anthony Towns,REB+AST,14.5,OVER,16.964,20.0,5.5,HIT,,0.684,,,,
2026-04-25,Cade Cunningham,PTS,28.5,UNDER,21.724000000000004,27.0,1.5,HIT,,0.682,,,,
2026-04-25,Shai Gilgeous-Alexander,REB,4.5,UNDER,3.532,4.0,0.5,HIT,BLW-1m,0.682,,,,
2026-04-25,Collin Gillespie,REB,3.5,OVER,3.94,10.0,6.5,HIT,,0.67,,,,
2026-04-25,Nickeil Alexander-Walker,PTS+AST,21.5,OVER,24.491999999999997,16.0,-5.5,MISS,,0.66,,,,
2026-04-25,Duncan Robinson,REB,2.5,OVER,2.764,0.0,-2.5,MISS,,0.654,,,,
2026-04-25,Mikal Bridges,REB+AST,5.5,UNDER,4.62,3.0,2.5,HIT,⚠MINS-VOL,0.649,,,,
2026-04-25,Cameron Johnson,REB,3.5,UNDER,2.884,2.0,1.5,HIT,DvP-0.85,0.648,,,,
2026-04-25,Rudy Gobert,REB+AST,12.5,OVER,14.436,17.0,4.5,HIT,,0.642,,,,
2026-04-25,Ajay Mitchell,PTS,14.5,UNDER,11.596,15.0,-0.5,MISS,,0.641,,,,
2026-04-25,Franz Wagner,REB,4.5,UNDER,3.7960000000000003,5.0,-0.5,MISS,,0.638,,,,
2026-04-25,Jonathan Kuminga,PRA,20.5,OVER,23.580000000000002,12.0,-8.5,MISS,,0.625,,,,
2026-04-25,Jalen Suggs,AST,4.5,OVER,5.82,3.0,-1.5,MISS,,0.613,,,,
2026-04-25,Jalen Johnson,3PM,1.5,OVER,1.8519999999999999,1.0,-0.5,MISS,LOW-LINE,0.613,,,,
2026-04-25,Onyeka Okongwu,3PM,1.5,OVER,1.764,1.0,-0.5,MISS,LOW-LINE,0.606,,,,
2026-04-25,Devin Booker,PTS,23.5,OVER,27.811999999999998,16.0,-7.5,MISS,HI-USG,0.605,,,,
2026-04-25,Dillon Brooks,PTS+AST,19.5,OVER,22.228,34.0,14.5,HIT,,0.605,,,,
2026-04-25,Chet Holmgren,3PM,1.5,OVER,1.8519999999999999,0.0,-1.5,MISS,LOW-LINE,0.585,,,,
2026-04-25,Ausar Thompson,AST,2.5,OVER,3.468,3.0,0.5,HIT,,0.579,,,,
2026-04-25,Bruce Brown,PTS,6.5,OVER,8.612,6.0,-0.5,MISS,DvP-0.85,0.566,,,,
2026-04-25,Aaron Gordon,REB+AST,7.5,OVER,8.556,1.0,-6.5,MISS,DvP-0.85,0.563,,,,
2026-04-25,Nickeil Alexander-Walker,PTS,18.5,OVER,21.228,15.0,-3.5,MISS,DvP-0.85,0.532,,,,
2026-04-25,Royce O'Neale,3PM,1.5,OVER,2.2920000000000003,1.0,-0.5,MISS,⚠SUSP-53% LOW-LINE,0.525,,,,
2026-04-25,Aaron Gordon,AST,2.5,OVER,3.2039999999999997,0.0,-2.5,MISS,DvP-0.85,0.525,,,,
2026-04-25,Ayo Dosunmu,REB,2.5,OVER,4.084,4.0,1.5,HIT,⚠SUSP-63% DvP+1.15,0.519,,,,
2026-04-25,Anthony Black,PTS,8.5,OVER,11.315999999999999,8.0,-0.5,MISS,,0.516,,,,
2026-04-25,Daniss Jenkins,PTS,5.5,OVER,11.22,5.0,-0.5,MISS,⚠SUSP-104% LOW-PO,0.5,,,,
2026-04-25,Tristan da Silva,PTS,5.5,OVER,8.932,0.0,-5.5,MISS,⚠SUSP-62% LOW-PO,0.5,,,,
2026-04-25,Goga Bitadze,PTS,3.5,OVER,5.524,2.0,-1.5,MISS,⚠SUSP-58% LOW-PO LO-USG ROT-RISK,0.5,,,,
2026-04-25,Duncan Robinson,AST,1.5,OVER,2.116,3.0,1.5,HIT,⚠SUSP-41% LOW-LINE,0.5,,,,
2026-04-25,Jalen Duren,AST,1.5,OVER,2.8200000000000003,1.0,-0.5,MISS,⚠SUSP-88% LOW-LINE,0.5,,,,
2026-04-25,Isaiah Hartenstein,AST,2.5,OVER,3.2039999999999997,1.0,-1.5,MISS,ROT-RISK,0.5,,,,
2026-04-25,Collin Gillespie,AST,2.5,OVER,3.116,5.0,2.5,HIT,,0.5,,,,
2026-04-25,Dillon Brooks,AST,1.5,OVER,1.8519999999999999,1.0,-0.5,MISS,LOW-LINE,0.5,,,,
2026-04-25,Oso Ighodaro,PTS,5.5,OVER,6.644,15.0,9.5,HIT,LO-USG,0.5,,,,
2026-04-25,Jalen Green,AST,2.5,OVER,2.94,6.0,3.5,HIT,,0.5,,,,
2026-04-25,Gabe Vincent,PTS,2.5,OVER,3.468,10.0,7.5,HIT,⚠BENCH NO-PO ⚠PO-ROLE DvP-0.85 LO-USG ROT-RISK,0.5,,,,
2026-04-25,Miles McBride,PTS,8.5,OVER,11.139999999999999,11.0,2.5,HIT,,0.5,,,,
2026-04-25,Jonathan Kuminga,PTS,13.5,OVER,16.14,10.0,-3.5,MISS,,0.5,,,,
2026-04-25,Cameron Johnson,AST,1.5,OVER,1.94,2.0,0.5,HIT,LOW-LINE DvP-0.85,0.5,,,,
2026-04-25,Rudy Gobert,AST,1.5,OVER,1.94,2.0,0.5,HIT,LOW-LINE,0.5,,,,
2026-04-25,Tim Hardaway Jr,PTS,10.5,OVER,12.084,10.0,-0.5,MISS,,0.5,,,,
2026-04-25,Naz Reid,REB,4.5,OVER,6.172000000000001,9.0,4.5,HIT,,0.849,,,,
2026-04-25,Donte DiVincenzo,3PM,2.5,OVER,3.468,0.0,-2.5,MISS,DvP+1.18,0.849,,,,
2026-04-25,OG Anunoby,REB,5.5,OVER,7.348,10.0,4.5,HIT,,0.841,,,,
2026-04-25,Christian Braun,AST,2.5,UNDER,1.972,1.0,1.5,HIT,,0.814,,,,
2026-04-25,Karl-Anthony Towns,REB,11.5,OVER,12.995999999999999,10.0,-1.5,MISS,,0.799,,,,
